,subject,session,runs,samples,trs
407,120,ses-01,6,1860000,248
408,120,ses-02,1,3727500,497
409,120,ses-02,2,3720000,496
410,120,ses-02,3,3727500,497
411,120,ses-02,4,3727500,497
412,120,ses-02,5,1859999,247
413,120,ses-02,6,1860000,248
414,220,ses-01,1,3727500,497
415,220,ses-01,2,3720000,496
416,220,ses-01,3,3719999,495
417,220,ses-01,4,3727501,497
418,220,ses-01,5,1860000,248
419,220,ses-01,6,1860000,248
420,220,ses-02,1,3727500,497
421,220,ses-02,2,3720000,496
422,220,ses-02,3,3720000,496
423,220,ses-02,4,3727500,497
424,220,ses-02,5,1860000,248
425,220,ses-02,6,1860000,248
426,121,ses-01,1,3727499,496
427,121,ses-01,2,3720000,496
428,121,ses-01,3,3720001,496
429,121,ses-01,4,3727500,497
430,121,ses-01,5,1860000,248
431,121,ses-01,6,1860000,248
432,121,ses-02,1,3727500,497
433,121,ses-02,2,3720000,496
434,121,ses-02,3,3720000,496
435,121,ses-02,4,3727500,497
436,121,ses-02,5,1860001,248
437,121,ses-02,6,1860000,248
438,221,ses-01,1,3727500,497
439,221,ses-01,2,3720000,496
440,221,ses-01,3,3720000,496
441,221,ses-01,4,3727500,497
442,221,ses-01,5,1860000,248
443,221,ses-01,6,1860000,248
444,221,ses-02,1,3727500,497
445,221,ses-02,2,3720000,496
446,221,ses-02,3,3720000,496
447,221,ses-02,4,3727500,497
448,221,ses-02,5,1860000,248
449,221,ses-02,6,1860000,248
450,122,ses-01,1,3727500,497
451,122,ses-01,2,3720000,496
452,122,ses-01,3,3720000,496
453,122,ses-01,4,3727500,497
454,122,ses-01,5,1860001,248
455,122,ses-01,6,1860000,248
456,122,ses-02,1,3727500,497
457,122,ses-02,2,3719999,495
458,122,ses-02,3,3720000,496
459,122,ses-02,4,3727500,497
460,122,ses-02,5,1860000,248
461,122,ses-02,6,1860000,248
462,222,ses-01,1,3727500,497
463,222,ses-01,2,3720001,496
464,222,ses-01,3,3720001,496
465,222,ses-01,4,3727500,497
466,222,ses-01,5,1860000,248
467,222,ses-01,6,1860000,248
468,222,ses-02,1,3727500,497
469,222,ses-02,2,3720000,496
470,222,ses-02,3,105000,14
471,222,ses-02,4,3727500,497
472,222,ses-02,5,3727499,496
473,222,ses-02,6,1860000,248
474,222,ses-02,7,1860000,248
475,123,ses-01,1,3727500,497
476,123,ses-01,2,3720000,496
477,123,ses-01,3,3720000,496
478,123,ses-01,4,3727500,497
479,123,ses-01,5,1860000,248
480,123,ses-01,6,1860000,248
481,223,ses-01,1,187500,25
482,223,ses-01,2,3720000,496
483,223,ses-01,3,3720000,496
484,223,ses-01,4,3720000,496
485,223,ses-01,5,3727499,496
486,223,ses-01,6,1860000,248
487,223,ses-01,7,1859999,247
488,223,ses-02,1,3727499,496
489,223,ses-02,2,3720000,496
490,223,ses-02,3,3720000,496
491,223,ses-02,4,3727500,497
492,223,ses-02,5,1860000,248
493,223,ses-02,6,1860000,248
494,124,ses-01,1,3727501,497
495,124,ses-01,2,3720001,496
496,124,ses-01,3,3720000,496
497,124,ses-01,4,3727500,497
